Risk_Index,N,Observed_Prevalence,Expected_Additive_%,Expected_Multiplicative_%,Additive_Diff,Multiplicative_Diff
0,220330,1.2916988154132438,1.2916988154132438,1.2916988154132438,0.0,0.0
1,997097,1.4637492641137222,1.4637492641137222,1.463749264113722,0.0,1.734723475976807e-16
2,896109,1.33956918187408,1.6357997128142003,1.6583313155390509,-0.29623053094012025,-0.3187621336649708
3,314499,1.2607353282522362,1.8078501615146787,1.8782868726273323,-0.5471148332624427,-0.6175515443750963
4,47230,1.1179335168325217,1.9799006102151573,2.126785669008243,-0.8619670933826356,-1.0088521521757214
5,1782,0.8978675645342313,2.1519510589156354,2.407354440849681,-1.254083494381404,-1.5094868763154494
