Period,Total_N,Diabetic_N,Prevalence_%,CI_Lower,CI_Upper
Pre-Pandemic (2015-2019),1299863,260797,20.06342206832566,19.99466397705263,20.132357107504586
Pandemic (2020-2022),703690,143539,20.39804459349998,20.30405605575286,20.492356336781008
Post-Pandemic (2023-2024),486033,102638,21.11749613709357,21.002979390358863,21.232469454266337
