Risk1,Risk2,N_Both,Prev_Both,Prev_Only1,Prev_Only2,Prev_Neither,Expected_Additive,Synergy_Index,Synergistic
RISK_SMOKER,RISK_HEAVY_ALCOHOL,64432,0.9017258505090638,1.1025510464575545,1.004243168018224,1.543632189378485,0.5631620250972933,0.33856382541177055,True
RISK_HEAVY_ALCOHOL,RISK_POOR_HEALTH,29111,0.8896980522826423,0.9837991899594979,1.1786720757158045,1.4653198368541982,0.697151428821104,0.19254662346153828,True
RISK_OBESITY,RISK_POOR_HEALTH,178802,1.4468518249236586,1.6862040763963502,1.013068822865739,1.336992407922847,1.3622804913392423,0.08457133358441626,True
RISK_OBESITY,RISK_NO_EXERCISE,441292,1.7335460420764484,1.4167745429008978,1.3392639754577327,1.103554339691879,1.6524841786667515,0.0810618634096969,True
RISK_SMOKER,RISK_POOR_HEALTH,179361,0.9149146135447506,1.1365239096422493,1.2931402353785981,1.5568869382163115,0.8727772068045361,0.04213740674021449,True
RISK_NO_EXERCISE,RISK_SMOKER,562693,1.1432521819180264,1.5775800714727013,0.9442545335700594,1.325982922212638,1.1958516828301229,-0.05259950091209653,False
RISK_OBESITY,RISK_SMOKER,211070,1.2948310986876392,1.7715236045983316,1.0099559722858946,1.4015072118218856,1.3799723650623406,-0.08514126637470132,False
RISK_NO_EXERCISE,RISK_HEAVY_ALCOHOL,143579,1.0029321836758858,1.4771556379368207,0.8632809067744487,1.229274758960657,1.1111617857506124,-0.10822960207472665,False
RISK_NO_EXERCISE,RISK_POOR_HEALTH,283081,1.1989501238161515,1.4843991402464491,1.1187217513226841,1.2487174944064214,1.3544033971627119,-0.15545327334656034,False
RISK_OBESITY,RISK_HEAVY_ALCOHOL,47385,1.0741795926981113,1.664315893185507,0.9342497071649333,1.3049156790767682,1.293649921273672,-0.2194703285755608,False
