Risk_Category,Total_N,Diabetic_N,Prevalence_%,CI_Lower,CI_Upper
0 Risks,220330,2846,1.2916988154132438,1.2453913655246927,1.3397047589010707
1 Risk,997097,14595,1.4637492641137222,1.4403623566643466,1.487510169564198
2 Risks,896109,12004,1.33956918187408,1.315974031963336,1.3635815424358786
3+ Risks,363511,4509,1.240402628806281,1.2049338268565344,1.2769020069406851
