Year,LR_AUC,LR_F1,XGB_AUC,XGB_F1
2015,0.7460544934668681,0.44013074778911904,0.7534565148320885,0.44093735054997607
2016,0.7377900470588887,0.46016765343806787,0.7442130196098442,0.4604329973870847
2017,0.7393828087305676,0.4566107074250397,0.7448383367288414,0.457339110640762
2018,0.7390426883086767,0.46511041539722225,0.7448435646252463,0.4652223029129347
2019,0.7368196643491904,0.4594925634295713,0.7434325374279837,0.45976392627873264
2020,0.7345296706778321,0.44828737715866807,0.7406064513851103,0.4477242000901307
2021,0.7292964339525271,0.4512344715302094,0.73489634792526,0.45328763645595327
2022,0.7270501692158681,0.45902556598089006,0.7338524477195004,0.46093765726593794
2023,0.729278563946647,0.4547407587871808,0.7361218520046213,0.4592934269839606
2024,0.7277525368621369,0.4634771027558652,0.7341460640900661,0.4659097502949653
