Risk_Index,Total_N,Diabetic_N,Prevalence_%,CI_Lower,CI_Upper
0,220330,2846,1.2916988154132438,1.2453913655246927,1.3397047589010707
1,997097,14595,1.4637492641137222,1.4403623566643466,1.487510169564198
2,896109,12004,1.33956918187408,1.315974031963336,1.3635815424358786
3,314499,3965,1.2607353282522362,1.2223318652352966,1.300329475322842
4,47230,528,1.1179335168325217,1.0270066795446349,1.2168116593812426
5,1782,16,0.8978675645342313,0.5534191191849797,1.4535673907048112
