Year,Feature,Coefficient,Abs_Coefficient
2015,AGE_CATEGORIES,0.6374844880213065,0.6374844880213065
2015,BMICAT,0.5322193266981656,0.5322193266981656
2015,HEALTH_STATUS,-0.3626742105482767,0.3626742105482767
2015,HEALTH_CARE_COVERAGE,-0.11652745695608438,0.11652745695608438
2015,SMOKER,-0.07392241265471018,0.07392241265471018
2015,INCOME,-0.053392638425383984,0.053392638425383984
2015,EDUCATION_LEVEL,-0.04707082979690424,0.04707082979690424
2015,SEX,-0.017154383633877324,0.017154383633877324
2015,EXERCISE,0.00839805242236608,0.00839805242236608
2015,POOR_PHYSICAL_HEALTH_DAYS,0.008267960061335646,0.008267960061335646
2016,AGE_CATEGORIES,0.6416600558514318,0.6416600558514318
2016,BMICAT,0.5038743088238853,0.5038743088238853
2016,HEALTH_STATUS,-0.3123722483734891,0.3123722483734891
2016,HEALTH_CARE_COVERAGE,-0.13690151344068677,0.13690151344068677
2016,SMOKER,-0.10589852809333561,0.10589852809333561
2016,POOR_PHYSICAL_HEALTH_DAYS,0.04840660885501022,0.04840660885501022
2016,EDUCATION_LEVEL,-0.035423056862581744,0.035423056862581744
2016,EXERCISE,0.03018197159777282,0.03018197159777282
2016,SEX,-0.020061878819761892,0.020061878819761892
2016,INCOME,-0.009932944269418865,0.009932944269418865
2017,AGE_CATEGORIES,0.650293010200206,0.650293010200206
2017,BMICAT,0.5045178893761102,0.5045178893761102
2017,HEALTH_STATUS,-0.3205625471979509,0.3205625471979509
2017,HEALTH_CARE_COVERAGE,-0.1224353299572756,0.1224353299572756
2017,SMOKER,-0.09962568768801959,0.09962568768801959
2017,POOR_PHYSICAL_HEALTH_DAYS,0.053150818333524204,0.053150818333524204
2017,EDUCATION_LEVEL,-0.04139453603189692,0.04139453603189692
2017,SEX,-0.027650753746411523,0.027650753746411523
2017,INCOME,-0.01526947131585093,0.01526947131585093
2017,EXERCISE,0.010617972552690766,0.010617972552690766
2018,AGE_CATEGORIES,0.6439600884088758,0.6439600884088758
2018,BMICAT,0.47678797361142894,0.47678797361142894
2018,HEALTH_STATUS,-0.31389518513484227,0.31389518513484227
2018,HEALTH_CARE_COVERAGE,-0.1405793237808995,0.1405793237808995
2018,SMOKER,-0.10625259206450532,0.10625259206450532
2018,POOR_PHYSICAL_HEALTH_DAYS,0.05137207445790988,0.05137207445790988
2018,EDUCATION_LEVEL,-0.050759730237571354,0.050759730237571354
2018,SEX,-0.030558076626997187,0.030558076626997187
2018,EXERCISE,0.02340483832580657,0.02340483832580657
2018,INCOME,-0.014894777494151188,0.014894777494151188
