Comparison,Cat1,Cat1_Prevalence_%,Cat2,Cat2_Prevalence_%,Odds_Ratio,Z_Statistic,P_Value,Significant_at_0.05
0 Risks vs 1 Risk,0 Risks,1.2916988154132438,1 Risk,1.4637492641137222,1.1351756649947928,-6.150480070196966,7.724876557837038e-10,True
0 Risks vs 2 Risks,0 Risks,1.2916988154132438,2 Risks,1.33956918187408,1.0375631914091983,-1.757229422529427,0.07887871211216221,False
0 Risks vs 3+ Risks,0 Risks,1.2916988154132438,3+ Risks,1.240402628806281,0.9597890338008676,1.7035004413510777,0.08847445548258571,False
1 Risk vs 2 Risks,1 Risk,1.4637492641137222,2 Risks,1.33956918187408,0.9140111292061195,7.248379172124031,4.217884585833537e-13,True
1 Risk vs 3+ Risks,1 Risk,1.4637492641137222,3+ Risks,1.240402628806281,0.8454982461285145,9.797499885927431,1.1540668868799937e-22,True
2 Risks vs 3+ Risks,2 Risks,1.33956918187408,3+ Risks,1.240402628806281,0.9250415220467687,4.433604441115485,9.26705831209564e-06,True
