Year,Age_Group,Total_N,Diabetic_N,Prevalence_%,CI_Lower,CI_Upper
2015,Young (18-29),32454,359,1.106181056264251,0.9980335673264475,1.2259023582219721
2015,Older (30+),218811,3031,1.3852137232588855,1.3370878707833096,1.435046576608764
2016,Young (18-29),35274,367,1.040426376367863,0.9397374476621078,1.1517782645689942
2016,Older (30+),233294,3071,1.3163647586307405,1.2709094964387129,1.3634233194376253
2017,Young (18-29),35566,371,1.0431310802451779,0.9426999073185671,1.1541370940584648
2017,Older (30+),221480,2747,1.2402925772078743,1.1950373312836124,1.2872392809891269
2018,Young (18-29),34649,400,1.1544344714133163,1.0472457793579975,1.2724531627339553
2018,Older (30+),210985,3232,1.5318624546768727,1.4803311437251985,1.5851587423522648
2019,Young (18-29),33087,379,1.1454649862483754,1.0363418679771808,1.265931399076867
2019,Older (30+),204224,3229,1.5811070197430273,1.5279074897382772,1.6361281037319524
2020,Young (18-29),33067,329,0.9949496476850032,0.8935206807242173,1.1077637377527532
2020,Older (30+),197824,2919,1.475554027822711,1.4233552597951875,1.5296373790326532
2021,Young (18-29),34077,342,1.0036094726648472,0.9031621957381436,1.1151025175370122
2021,Older (30+),212417,3260,1.5347170894984865,1.4833089190392656,1.5878782351312035
2022,Young (18-29),34802,376,1.080397678294351,0.9770546196374849,1.1945394727748648
2022,Older (30+),214484,3268,1.5236567762630313,1.472677832192385,1.5763721984364845
2023,Young (18-29),33813,315,0.9315943571998935,0.8346238544048104,1.0397132214739728
2023,Older (30+),204711,2739,1.3379837917845159,1.2891169624307688,1.3886769665073078
2024,Young (18-29),37631,337,0.8955382530360607,0.8052378571912198,0.9958633861842807
2024,Older (30+),214397,2883,1.3447016516089312,1.29681100993781,1.394335888993019
